Field Listing :: Legislative branch :: The World Factbook - Central Intelligence Agency

This entry has three subfields. The description subfield provides the legislative structure (unicameral â€“ single house; bicameral â€“ an upper and a lower house); formal name(s); number of member seats; types of constituencies or voting districts (single seat, multi-seat, nationwide); electoral voting system(s); and member term of office. The elections subfield includes the dates of the last election and next election. The election results subfield lists percent of vote by party/coalition and number of seats by party/coalition in the last election (in bicameral legislatures, upper house results are listed first). In general, parties with less than four seats and less than 4 percent of the vote are aggregated and listed as "other," and non-party-affiliated seats are listed as "independent." Also, the entries for some countries include two sets of percent of vote by party and seats by party; the former reflects results following a formal election announcement, and the latter â€“ following a mid-term or byelection â€“ reflects changes in a legislatureâ€™s political party composition.
Of the approximately 240 countries with legislative bodies, approximately two-thirds are unicameral, and the remainder, bicameral. The selection of legislative members is typically governed by a country's constitution and/or its electoral laws. In general, members are either directly elected by a country's eligible voters using a defined electoral system; indirectly elected or selected by its province, state, or department legislatures; or appointed by the country's executive body. Legislative members in many countries are selected both directly and indirectly, and the electoral laws of some countries reserve seats for women and various ethnic and minority groups.
Worldwide, the two predominant direct voting systems are plurality/majority and proportional representation. The most common of the several plurality/majority systems is simple majority vote, or first-past-the-post, in which the candidate receiving the most votes is elected. Countries' legislatures such as Bangladesh's Parliament, Malaysia's House of Representatives, and the United Kingdom's House of Commons use this system. Another common plurality/majority system â€“ absolute majority or two-round â€“ requires that candidates win at least 50 percent of the votes to be elected. If none of the candidates meets that vote threshold in the initial election, a second poll or"runoff" is held soon after for the two top vote getters, and the candidate receiving a simple vote majority is declared the winner. Examples of the two-round system are Haiti's Chamber of Deputies, Mali's National Assembly, and Uzbekistan's Legislative Chamber. Other plurality/majority voting systems, referred to as preferential voting and generally used in multi-seat constituencies, are block vote and single non-transferable vote, in which voters cast their ballots by ranking their candidate preferences from highest to lowest.
Proportional representation electoral systems â€“ in contrast to plurality/majority systems â€“ generally award legislative seats to political parties in approximate proportion to the number of votes each receives. For example, in a 100-member legislature, if Party A receives 50 percent of the total vote, Party B, 30 percent, and Party C, 20 percent, then Party A would be awarded 50 seats, Party B 30 seats, and Party C 20 seats. There are various forms of proportional representation and the degree of reaching proportionality varies. Some forms of proportional representation are focused solely on achieving the proportional representation of different political parties and voters cast ballots only for political parties, whereas in other forms, voters cast ballots for individual candidates within a political party.
Many countries - both unicameral and bicameral - use a mix of electoral methods, in which a portion of legislative seats are awarded using one system, such as plurality/majority, while the remaining seats are awarded by another system, such as proportional representation. Many countries with bicameral legislatures use different voting systems for the two chambers.

| Country | Legislative branch |
| | *election results:* percent of vote by party - PNDS-Tarrayya 44.1%, MODEN/FA Lumana 14.7%, MNSD-Nassara 11.8%, MPR-Jamhuriya 7.1%, MNRD Hankuri-PSDN Alheri 3.5%, MPN-Kishin Kassa 2.9%, ANDP-Zaman Lahiya 2.4%, RSD-Gaskiya 2.4%, CDS-Rahama 1.8%, CPR-Inganci 1.8%, RDP-Jama'a 1.8%, AMEN AMIN 1.8%, other 3.9%; seats by party - PNDS-Tarrayya 75, MODEN/FA Lumana 25, MNSD-Nassara 20, MPR-Jamhuriya 12, MNRD Hankuri-PSDN Alheri 6, MPN-Kishin Kassa 5, ANDP-Zaman Lahiya 4, RSD-Gaskiya 4, CDS-Rahama 3, CPR-Inganci 3, RDP-Jama'a 3, RDP-Jama'a 3, AMEN AMIN 3, other 8 |
| **Nigeria** | *description:* bicameral National Assembly consists of: |
| | Senate (109 seats - 3 each for the 36 states and 1 for Abuja-Federal Capital Territory; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| | House of Representatives (360 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| | *elections:* |
| | Senate - last held on 28-29 March 2015 (next to be held on 16 February 2019) |
| | House of Representatives - last held on 28-29 March 2015 (next to be held on 16 February 2019) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - APC 60, PDP 49; seats by party as of April 2017 - APC 66, PDP 43 |
| | House of Representatives - percent of vote by party - NA; seats by party - APC 225, PDP 125, other 10 |
| **Niue** | *description:* unicameral Assembly or Fono Ekepule (20 seats; 14 members directly elected in single-seat constituencies by simple majority vote and 6 directly elected from the National Register or "common roll" by majority vote; members serve 3-year terms) |
| | *elections:* last held on 6 May 2017 (next to be held in 2020) |
| | *election results:* percent of vote by party - NA; seats by party - independent 20; composition - men 15, women 5, percent of women 25% |
| **Norfolk Island** | *description:* unicameral Norfolk Island Regional Council (5 seats; councillors directly elected by simple majority vote to serve 4-year terms); mayor elected annually by the councillors |
| | *elections:* elections last held 28 May 2016 (next to be held in 2020) |
| | *election results:* seats by party - independent 5; composition - men 4, women 1, percent of women 20% |
| | *note:* following an administrative restructuring of local government, the Legislative Assembly was dissolved on 18 June 2015 and replaced by an interim Norfolk Island Advisory Council effective 1 July 2015; the Advisory Council consisted of 5 members appointed by the Norfolk Island administrator based on nominations from the community; following elections on 28 May 2016, the new Norfolk Island Regional Council commenced operations on 1 July 2016 |
| **Northern Mariana Islands** | *description:* bicameral Northern Mariana Commonwealth Legislature consists of: |
| | Senate (9 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| | House of Representatives (20 seats; members directly elected in single-seat constituencies by simple majority vote to serve 2-year terms) |
| | *elections:* |
| | Senate - last held on 8 November 2016 (next to be held in November 2020) |
| | House of Representatives - last held on 13 November 2018 (next to be held in November 2020) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - Covenant Party 3, Republican Party 3, Democratic Party 1, independent 2; composition - men 8, women 1, percent of women 11.1% |
| | House of Representatives - percent of vote by party - NA; seats by party - Republican Party 13, independent 7; composition - men 13, women 7, percent of women 35%; note - total Legisature percent of women 27.6% |
| | *note:* the Northern Mariana Islands directly elects 1 member by simple majority vote to serve a 2-year term as a delegate to the US House of Representatives; the delegate can vote when serving on a committee and when the House meets as the Committee of the Whole House but not when legislation is submitted for a â€œfull floorâ€? House vote; election of delegate last held on 4 November 2016 (next to be held in November 2018) |
| **Norway** | *description:* unicameral Parliament or Storting (169 seats; members directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| | *elections:* last held on 11 September 2017 (next to be held in September 2021) |
| | *election results:* percent of vote by party - Ap 27.4%, H 25%, FrP 15.2%, SP 10.3%, SV 6%, V 4.4%, KrF 4.2%, MDG 3.2%, R 2.4%, other/invalid 1.9%; seats by party - Ap 49, H 45, FrP 27, SP 19, SV 11, V 8, KrF 8, MDG 1, R 1; composition - men 99, women 70, percent of women 41.4% |
| **Oman** | *description:* bicameral Council of Oman or Majlis Oman consists of: |
| | Council of State or Majlis al-Dawla (85 seats including the chairman; members appointed by the sultan from among former government officials and prominent educators, businessmen, and citizens) |
| | Consultative Council or Majlis al-Shura (85 seats; members directly elected in single- and 2-seat constituencies by simple majority popular vote to serve renewable 4-year terms); note - since political reforms in 2011, legislation from the Consultative Council is submitted to the Council of State for review by the Royal Court |
| | *elections:* Council of State - last appointments on 7 November 2015 (next - NA) |
| | Consultative Assembly - last held on 25 October 2015 (next to be held in October 2019) |
| | *election results:* |
| | Council of State - composition - men 72, women 13, percent of women 15.3% |
| | Consultative Council percent of vote by party - NA; seats by party - NA (organized political parties in Oman are legally banned); composition men 84, women 1, percent of women 1.2%; note - total Council of Oman percent of women 8.2% |
| **Pakistan** | *description:* bicameral Parliament or Majlis-e-Shoora consists of: |
| | Senate (104 seats; members indirectly elected by the 4 provincial assemblies and the territories' representatives by proportional representation vote; members serve 6-year terms with one-half of the membership renewed every 3 years) |
| | National Assembly (342 seats; 272 members directly elected in single-seat constituencies by simple majority vote and 70 members - 60 women and 10 non-Muslims - directly elected by proportional representation vote; all members serve 5-year terms)and the Consultative Council or Majlis al-Shura (85 seats; members directly elected in single- and 2-seat constituencies by simple majority popular vote to serve renewable 4-year terms) |
| | *elections:* |
| | Senate - last held on 3 March 2018 (next to be held in March 2021) |
| | National Assembly - last held on 25 May 2018 (next to be held on 25 July 2023) |
| | *election results:* |
| | Senate - percent of vote by party - NA; seats by party - PML-N 15, PPPP 12, PTI 6, PkMAP 2, NP 2, JUI-F 2, JI 1, MQM-P 1, PML-F 1, independent 10 |
| | National Assembly - percent of votes by party - PTI 31.9%, PML-N 24.4%, PPPP 13.1%, MMA 4.8%, MQM 1.4%, PML-Q 1%, BAP 0.6%, BNP 0.4%, other 11.1%,independent 11.4%; seats by party - PTI 116, PML-N 64, PPPP 43, MMA 12, MQM 6, BAP 4, PML-Q 4, BNP 3, other 5, independent 13; election for 2 seats postponed |
| | *note:* since political reforms in 2011, legislation from the Consultative Council is submitted to the Council of State for review by the Royal Court) and the National Assembly (342 seats; 272 members directly elected in single-seat constituencies by simple majority vote and 70 members - 60 women and 10 non-Muslims - directly elected by proportional representation vote; all members serve 5-year terms) |
| **Palau** | *description:* bicameral National Congress or Olbiil Era Kelulau consists of: |
| | Senate (13 seats; members directly elected in single-seat constituencies by majority vote to serve 4-year terms) |
| | House of Delegates (16 seats; members directly elected in single-seat constituencies by simple majority vote to serve 4-year terms) |
| | *elections:* |
| | Senate - last held on 1 November 2016 (next to be held in November 2020) |
| | House of Delegates - last held on 1 November 2016 (next to be held in November 2020) |
| | *election results:* |
| | Senate - percent of vote - NA; seats - independent 13; composition - men 11, women 2, percent of women 15.4% |
| | House of Delegates - percent of vote - NA; seats - independent 16; composition - men 14, women 2, percent of women 12.5%; note - total National Congress percent of women 13.8% |
| **Panama** | *description:* unicameral National Assembly or Asamblea Nacional (71 seats; 45 members directly elected in multi-seat constituencies - populous towns and cities - by proportional representation vote and 26 directly elected in single-seat constituencies - outlying rural districts - by plurality vote; members serve 5-year terms) |
| | *elections:* last held on 4 May 2014 (next to be held in May 2019) |
| | *election results:* percent of vote by party - CD 33.7%, PRD 31.5%, Panamenista Party 20%, MOLIRENA 7.2%, PP 3.3%, other 1%, independent 3%; seats by party - PRD 30, CD 25, Panamenista 12, MOLIRENA 2, PP 1, independent 1 |
| | *note:* an alliance between the Panamenista Party and Democratic Revolutionary Party (PRD) fractured after the 2014 election, but a loose coalition composed of Panamenista and moderate PRD and CD legislators generally work together to support the presidentâ€™s agenda |
| **Papua New Guinea** | *description:* unicameral National Parliament (111 seats; members directly elected in single-seat constituencies - 89 local, 20 provinicial, the autonomous province of Bouganville, and the National Capital District - by majority preferential vote; members serve 5-year terms); note - the constitution allows up to 126 seats |
| | *elections:* last held from 24 June 2017 to 8 July 2017 (next to be held in June 2022) |
| | *election results:* percent of vote by party - PNC 37%; NA 13%; Pangu 14%; URP 11%; PPP 4%; SDP 4%; Independents 3%; and smaller parties 14%; seats by party - NA; composition - men 108, women 3, percent of women 3% |
| **Paraguay** | *description:* bicameral National Congress or Congreso Nacional consists of: |
| | Chamber of Senators or Camara de Senadores (45 seats; members directly elected in a single nationwide constituency by proportional representation vote to serve 5-year terms) |
| | Chamber of Deputies or Camara de Diputados (80 seats; members directly elected in 18 multi-seat constituencies - corresponding to the country's 17 departments and capital city - by proportional representation vote to serve 5-year terms) |
| | *elections:* |
| | Chamber of Senators - last held on 22 April 2018 (next to be held in April 2023) |
| | Chamber of Deputies - last held on 22 April 2018 (next to be held in April 2023) |
| | *election results:* |
| | Chamber of Senators - percent of vote by party/coalition - ANR 32.52%, PLRA 24.18%, FG 11.83%, PPQ 6.77%, MH 4.47%, PDP 3.66%, MCN 2.48%, UNACE 2.12%, other 11.97%; seats by party/coalition - ANR 17, PLRA 13, FG 6, PPQ 3, MH 2, PDP 2, MCN 1, UNACE 1; |
| | Chamber of Deputies - percent of vote by party/coalition - ANR 39.1%, PLRA 17.74%, Ganar Alliance 12.08%, PPQ 4.46%, MH 3.19%; other 23.43%; seats by party/coalition - ANR 42, PLRA 17, Ganar Alliance 13, PPQ 3, MH 2, other 3 |
| **Peru** | *description:* unicameral Congress of the Republic of Peru or Congreso de la Republica del Peru (130 seats; members directly elected in multi-seat constituencies by closed party-list proportional representation vote to serve 5-year terms) |
| | *elections:* last held on 10 April 2016 with run-off election on 6 June 2016 (next to be held in April 2021) |
| | *election results:* percent of vote by party/coalition - Fuerza Popular 36.3%, PPK 16.5%, Frente Amplio 13.9%, APP 9.2%; APRA 8.3%; AP 7.2%, other 8.6%; seats by party/coalition - Fuerza Popular 73, Frente Amplio 20, PPK 18, APP 9; APRA 5; AP 5 |
| **Philippines** | *description:* bicameral Congress or Kongreso consists of: |
| | Senate or Senado (24 seats; members directly elected in multi-seat constituencies by majority vote; members serve 6-year terms with one-half of the membership renewed every 3 years) |
| | House of Representatives or Kapulungan Ng Mga Kinatawan (297 seats; 238 members directly elected in single-seat constituencies by simple majority vote and 59 representing minorities directly elected by party-list proportional representation vote; members serve 3-year terms) |
| | *elections:* |
| | Senate - elections last held on 9 May 2016 (next to be held in May 2019) |
| | House of Representatives - elections last held on 9 May 2016 (next to be held in May 2019) |
| | *election results:* |
| | Senate - percent of vote by party - LP 31.3%, NPC 10.1%, UNA 7.6%, Akbayan 5.0%, other 30.9%, independent 15.1%; seats by party - LP 6, NPC 3, UNA 4, Akbayan 1, other 10; composition - men 18, women 6, percent of women 25% |
| | House of Representatives - percent of vote by party - LP 41.7%, NPC 17.0%, UNA 6.6%, NUP 9.7%, NP 9.4%, independent 6.0%, others 10.1%; seats by party - LP 115, NPC 42, NUP 23, NP 24, UNA 11, other 19, independent 4, party-list 59; composition - men 210, women 87, percent of women 29% |
| **Pitcairn Islands** | *description:* unicameral Island Council (10 seats; 4 members directly elected by proportional representation vote, 1 nominated by the elected Council members, 2 appointed by the governor, and 3 ex-officio members - the governor, deputy governor, and commissioner; elected members serve 1-year terms) |
| | *elections:* last held in November 2017 (next to be held not later than December 2019) |
